transaction_id,customer_id,product_id,product_name,category,unit_price,quantity,implicit_rating,timestamp
TX-00001,CUST-149,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,2,5.0,2026-03-18 21:33:00
TX-00002,CUST-171,prod-4,Dark Chocolate Almond Bar,Snacks,2.75,1,5.0,2026-01-02 10:43:00
TX-00003,CUST-197,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,4.0,2026-02-04 17:07:00
TX-00004,CUST-156,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,2,5.0,2026-01-21 21:00:00
TX-00005,CUST-165,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,5.0,2026-01-23 10:55:00
TX-00006,CUST-139,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,3,5.0,2026-03-23 13:09:00
TX-00007,CUST-198,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,4.0,2026-01-21 07:38:00
TX-00008,CUST-163,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,4.0,2026-01-03 10:59:00
TX-00009,CUST-140,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,5.0,2026-01-31 08:15:00
TX-00010,CUST-111,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,3.0,2026-01-11 22:52:00
TX-00011,CUST-198,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,5.0,2026-03-10 11:08:00
TX-00012,CUST-161,prod-4,Dark Chocolate Almond Bar,Snacks,2.75,1,5.0,2026-03-12 12:16:00
TX-00013,CUST-178,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,5.0,2026-02-24 13:59:00
TX-00014,CUST-197,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,4.0,2026-03-30 13:45:00
TX-00015,CUST-152,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,5.0,2026-03-27 18:28:00
TX-00016,CUST-158,prod-7,Detox Green Juice,Fresh Juices,5.0,1,3.0,2026-01-16 14:14:00
TX-00017,CUST-144,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,2,4.0,2026-01-03 14:37:00
TX-00018,CUST-101,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,3.0,2026-01-10 08:14:00
TX-00019,CUST-105,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,3.0,2026-02-12 09:32:00
TX-00020,CUST-136,prod-4,Dark Chocolate Almond Bar,Snacks,2.75,1,5.0,2026-03-27 22:13:00
TX-00021,CUST-117,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,4.0,2026-03-15 22:15:00
TX-00022,CUST-153,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,2,5.0,2026-01-25 10:06:00
TX-00023,CUST-146,prod-3,Electrolyte Spark Hydration,Hydration,3.25,1,5.0,2026-02-24 20:29:00
TX-00024,CUST-107,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,4.0,2026-03-28 10:03:00
TX-00025,CUST-194,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,3.0,2026-02-13 10:15:00
TX-00026,CUST-125,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,4.0,2026-03-10 21:08:00
TX-00027,CUST-124,prod-6,Organic Protein Crunch Bar,Snacks,3.5,2,4.0,2026-02-05 21:15:00
TX-00028,CUST-157,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,2,4.0,2026-03-12 10:03:00
TX-00029,CUST-112,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,4.0,2026-01-31 12:26:00
TX-00030,CUST-162,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,3.0,2026-01-28 19:57:00
TX-00031,CUST-122,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,4.0,2026-02-18 07:24:00
TX-00032,CUST-159,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,5.0,2026-02-06 20:44:00
TX-00033,CUST-172,prod-3,Electrolyte Spark Hydration,Hydration,3.25,1,3.0,2026-03-26 22:09:00
TX-00034,CUST-138,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,5.0,2026-01-28 08:37:00
TX-00035,CUST-170,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,3,4.0,2026-01-08 17:03:00
TX-00036,CUST-175,prod-4,Dark Chocolate Almond Bar,Snacks,2.75,1,5.0,2026-03-03 12:03:00
TX-00037,CUST-111,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,3.0,2026-01-24 09:38:00
TX-00038,CUST-187,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,5.0,2026-01-31 19:07:00
TX-00039,CUST-132,prod-4,Dark Chocolate Almond Bar,Snacks,2.75,1,3.0,2026-03-16 08:39:00
TX-00040,CUST-154,prod-3,Electrolyte Spark Hydration,Hydration,3.25,1,4.0,2026-03-26 17:59:00
TX-00041,CUST-127,prod-8,Mango Passion Kombucha,Fresh Juices,4.25,1,4.0,2026-03-27 17:15:00
TX-00042,CUST-151,prod-3,Electrolyte Spark Hydration,Hydration,3.25,1,4.0,2026-01-17 16:29:00
TX-00043,CUST-197,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,5.0,2026-01-10 07:29:00
TX-00044,CUST-173,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,3.0,2026-01-13 09:34:00
TX-00045,CUST-165,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,4.0,2026-02-03 11:59:00
TX-00046,CUST-109,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,3.0,2026-02-01 18:18:00
TX-00047,CUST-157,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,5.0,2026-03-11 16:39:00
TX-00048,CUST-168,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,5.0,2026-01-02 16:59:00
TX-00049,CUST-114,prod-7,Detox Green Juice,Fresh Juices,5.0,1,3.0,2026-01-18 15:07:00
TX-00050,CUST-196,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,4.0,2026-03-12 11:17:00
TX-00051,CUST-178,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,5.0,2026-01-27 17:13:00
TX-00052,CUST-182,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,3.0,2026-02-03 22:16:00
TX-00053,CUST-112,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,4.0,2026-03-23 20:53:00
TX-00054,CUST-106,prod-5,Dragonfruit Sparkling Water,Hydration,2.5,1,3.0,2026-01-01 17:49:00
TX-00055,CUST-182,prod-2,Matcha Green Tea Latte,Coffee & Tea,4.0,1,4.0,2026-02-03 12:47:00
TX-00056,CUST-171,prod-1,Nitro Cold Brew,Coffee & Tea,4.5,1,3.0,2026-02-24 07:07:00
TX-00057,CUST-189,prod-6,Organic Protein Crunch Bar,Snacks,3.5,1,4.0,2026-01-20 08:53:00
